,1,0
 GO:0032914,1,0
 GO:1903991,1,0
 GO:0002934,1,1
 GO:0002931,2,0
 GO:0072102,1,0
 GO:0004478,1,0
 GO:0032230,1,0
 GO:0045940,1,0
 GO:0045944,13,1
 GO:2000146,2,1
 GO:2000147,1,0
 GO:0006656,2,0
 GO:0034375,1,0
 GO:0034372,1,0
 GO:0031947,1,0
 GO:0070527,11,0
 GO:0072583,1,0
 GO:1990730,1,0
 GO:0034379,1,0
 GO:0004872,1,0
 GO:0004871,4,0
 GO:0005871,1,0
 GO:0005938,12,0
 GO:0038128,1,0
 GO:0005875,1,0
 GO:0005874,8,0
 GO:0005876,2,0
 GO:0070995,1,0
 GO:0080025,1,0
 GO:0042535,1,0
 GO:0050982,1,0
 GO:0034392,1,0
 GO:0034393,1,0
 GO:0034394,3,0
 GO:0072358,1,0
 GO:0060351,2,0
 GO:0060354,1,0
 GO:0046166,1,0
 GO:0005930,1,0
 GO:0043024,1,0
 GO:1990023,1,0
 GO:0014044,1,0
 GO:0045893,6,0
 GO:0045892,11,0
 GO:0030274,1,0
 GO:0042220,2,0
 GO:0042995,5,0
 GO:0042993,2,0
 GO:0034719,1,0
 GO:0014048,1,0
 GO:0014049,1,0
 GO:0005844,5,0
 GO:0055037,5,0
 GO:0030492,1,0
 GO:0030490,1,0
 GO:0030496,10,0
 GO:0004096,1,1
 GO:0004252,4,0
 GO:0031018,1,0
 GO:0048589,1,0
 GO:0090367,1,0
 GO:0031016,1,0
 GO:0010922,1,0
 GO:0031012,26,0
 GO:0035025,2,0
 GO:0035024,1,0
 GO:0060735,1,0
 GO:0060732,1,0
 GO:0035023,2,0
 GO:0030010,2,0
 GO:0010107,1,0
 GO:0060228,2,0
 GO:0060739,1,0
 GO:0030018,15,2
 GO:0070181,2,0
 GO:0016607,6,0
 GO:0070182,1,0
 GO:0090102,1,0
 GO:0016600,2,0
 GO:0016601,1,0
 GO:0031639,4,0
GO:0044295,1,0
 GO:0005849,1,0
 GO:0034451,1,0
 GO:1901164,1,0
 GO:0004222,2,0
 GO:0036438,1,0
 GO:0061084,1,0
 GO:0030659,7,0
 GO:0031701,1,0
 GO:0001755,2,0
 GO:0044140,1,0
 GO:0001205,1,0
 GO:0060230,1,0
 GO:0044212,5,0
 GO:0071345,1,0
 GO:0090611,1,0
 GO:0071347,3,0
 GO:0000151,2,0
 GO:0031526,2,0
 GO:0031527,1,0
 GO:0001974,2,0
 GO:0001975,3,0
 GO:0000977,2,0
 GO:0000976,1,0
 GO:0000974,1,0
 GO:0000979,1,0
 GO:0000978,1,0
 GO:0098592,1,0
 GO:0019732,2,0
 GO:0019731,3,0
 GO:0032385,1,0
 GO:0000082,1,0
 GO:0051603,10,0
 GO:0071902,5,0
 GO:0044325,7,0
 GO:0048168,1,0
 GO:0048169,2,0
 GO:0044320,1,0
 GO:0034116,3,0
 GO:0043679,2,0
 GO:0016559,1,0
 GO:0016556,1,0
 GO:0060334,2,0
 GO:0016805,1,0
 GO:0003985,1,0
 GO:0070365,1,0
 GO:0033700,2,0
 GO:0034445,1,0
 GO:0006930,2,0
 GO:0006933,1,0
 GO:0032652,1,0
 GO:0006937,1,0
 GO:0006936,3,0
 GO:0006939,1,0
 GO:0009890,1,0
 GO:0008199,1,0
 GO:0008198,2,0
 GO:0000790,2,0
 GO:0043259,2,0
 GO:0043256,1,0
 GO:0000164,1,0
 GO:0048015,1,0
 GO:0051258,4,0
 GO:0051259,1,0
 GO:0007224,2,0
 GO:0051926,1,0
 GO:0051924,1,0
 GO:0006334,3,0
 GO:0051920,1,0
 GO:0097110,5,2
 GO:0032735,1,0
 GO:0042073,1,0
 GO:0032731,1,0
 GO:0032733,1,0
 GO:0033673,1,0
 GO:0033676,1,0
 GO:0006805,1,0
 GO:0006807,1,0
 GO:0051639,1,0
 GO:0008379,3,0
 GO:0003677,16,0
 GO:0003857,2,0
 GO:0002102,5,0
 GO:0008408,1,0
 GO:0090051,1,0
 GO:0006241,1,0
 GO:0070051,1,1
 GO:0019233,1,0
 GO:0003691,3,0
 GO:0003690,3,0
 GO:0003697,6,0
 GO:1902856,1,0
 GO:0032420,3,0
 GO:0032421,2,0
 GO:0032422,1,0
 GO:0032930,2,0
 GO:0032429,1,0
 GO:0005916,6,1
 GO:0005914,1,0
 GO:0005915,2,0
 GO:0005912,2,0
 GO:0005913,6,0
 GO:0005911,9,2
 GO:0055131,2,0
GO:0005604,11,1
 GO:0047485,4,0
GO:0016235,2,0
 GO:0006065,1,0
 GO:0098911,2,1
 GO:0005688,1,0
 GO:0005687,1,0
 GO:0005685,2,0
 GO:0002039,1,0
 GO:0006068,1,0
 GO:0042056,1,0
 GO:0017046,1,0
 GO:0072669,1,0
 GO:0051660,2,0
 GO:1990126,1,0
 GO:0072661,2,0
 GO:0017048,1,0
 GO:0002925,1,0
 GO:0072112,1,0
 GO:1990836,1,0
 GO:1990831,1,0
 GO:0051702,1,0
 GO:2000177,1,0
GO:0042582,1,0
 GO:0046689,2,0
 GO:0046688,3,0
 GO:0046686,4,1
 GO:0006662,1,0
 GO:0006665,1,0
 GO:0060501,1,0
 GO:0006469,1,0
 GO:0007405,1,0
 GO:1903407,1,0
 GO:0006463,1,0
 GO:0006461,2,0
 GO:0072593,2,0
 GO:0034145,1,0
 GO:0061741,1,0
 GO:1990239,1,0
 GO:0005865,1,0
 GO:0061299,1,0
 GO:0030395,1,0
GO:0005783,10,0
 GO:2000286,1,0
GO:0005789,2,0
 GO:1902685,1,0
 GO:0060346,2,0
 GO:1902042,5,0
 GO:1902041,1,0
 GO:0035145,1,0
 GO:0035634,1,0
 GO:0060348,2,0
 GO:0060349,1,0
 GO:0014704,11,1
 GO:1901224,3,0
 GO:0045887,1,0
 GO:0045880,1,0
 GO:1903533,1,0
 GO:0046755,2,0
 GO:0042981,3,0
 GO:0004791,1,0
 GO:0010608,2,0
 GO:0001569,1,0
 GO:0001568,3,0
 GO:0051085,2,0
 GO:0030485,1,0
 GO:0005319,1,0
 GO:0031023,1,0
 GO:0010288,2,1
 GO:0045089,1,0
 GO:2001189,1,0
 GO:0045087,11,0
 GO:2000353,1,0
 GO:2000352,4,0
 GO:0030007,1,0
 GO:0061635,1,0
 GO:0044130,1,0
 GO:1901317,1,0
 GO:0050750,2,0
 GO:0001306,1,0
 GO:0001948,7,0
 GO:0051087,9,0
 GO:0001227,1,0
 GO:0030017,3,0
GO:0000781,1,0
 GO:0071800,1,0
GO:0000785,1,0
 GO:0071375,1,0
 GO:0010739,1,0
 GO:0043030,1,0
 GO:0030139,6,0
 GO:0090575,3,0
 GO:0001765,1,0
 GO:0001764,2,0
 GO:0001768,1,0
 GO:0030133,2,0
 GO:0030135,1,0
 GO:0048489,2,0
 GO:0048488,2,0
 GO:0071803,2,0
 GO:0044594,1,0
 GO:0044265,1,0
 GO:0000413,3,0
 GO:0000146,3,0
 GO:0044262,1,0
 GO:0043488,2,0
 GO:0000145,2,0
 GO:0031514,1,0
 GO:0043484,3,0
 GO:0001942,1,0
 GO:0031513,2,0
 GO:0031512,1,0
 GO:0045629,1,0
 GO:2000767,1,0
 GO:0001786,2,0
 GO:0045627,1,0
 GO:0051130,1,0
 GO:0032391,2,0
 GO:0032395,1,0
 GO:0045745,1,0
 GO:0036398,1,0
 GO:0048156,1,0
 GO:0051489,1,0
 GO:0007032,1,0
 GO:0007031,1,0
 GO:0007030,2,0
 GO:0043666,1,0
 GO:0007035,1,0
 GO:0097211,1,0
 GO:0030863,5,0
 GO:0045740,3,0
 GO:0030866,3,0
 GO:0009566,1,0
 GO:0030864,3,0
 GO:0030865,1,0
 GO:0016010,3,1
 GO:0003998,1,0
 GO:0071711,1,0
 GO:0003994,1,0
 GO:0070374,7,0
 GO:0070372,3,0
 GO:0070373,4,1
 GO:0051082,5,0
 GO:0070371,1,0
 GO:0036089,1,0
 GO:0071480,1,0
 GO:0008745,1,0
 GO:0006928,1,0
 GO:0051006,2,0
 GO:0000784,2,0
 GO:0000785,1,0
 GO:0000786,1,0
 GO:0008186,1,0
 GO:0048027,1,0
 GO:0048026,3,0
 GO:0008180,6,0
 GO:0007257,1,0
 GO:0097100,1,0
 GO:0051260,8,0
